Removed,Iteration_1,Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_12,Iteration_13,Iteration_14,Iteration_15,Iteration_16,Iteration_17,Iteration_18,Iteration_19,Iteration_20,Iteration_21,Iteration_22,Iteration_23,Iteration_24,Iteration_25,Iteration_26,Iteration_27,Iteration_28,Iteration_29,Iteration_30,Iteration_31,Iteration_32,Iteration_33,Iteration_34,Iteration_35,Iteration_36,Iteration_37,Iteration_38,Iteration_39,Iteration_40,Iteration_41,Iteration_42,Iteration_43,Iteration_44,Iteration_45,Iteration_46,Iteration_47,Iteration_48,Iteration_49,Iteration_50
251,57,66,51,358,383,60,51,72,69,58,48,63,76,82,64,43,73,86,364,62,64,367,74,50,376,68,88,388,70,68,85,116,45,80,78,82,71,68,74,75,360,65,380,371,105,365,365,60,383,67
257,91,69,60,54,76,59,54,69,372,60,53,370,75,76,64,62,84,49,45,386,55,47,69,57,95,59,90,49,52,64,75,387,355,70,69,66,77,99,373,79,61,379,59,76,66,61,52,56,383,48
263,83,58,43,367,365,55,358,63,63,54,47,46,77,65,53,81,56,359,60,359,63,51,64,62,49,69,49,65,62,45,53,73,360,53,63,59,78,134,71,57,359,64,364,78,365,59,62,66,71,59
268,51,49,56,46,55,47,57,65,72,53,47,355,76,59,77,61,49,40,50,34,58,39,71,49,355,82,88,57,51,355,59,70,62,389,375,67,66,48,45,55,360,59,34,66,45,45,63,381,60,55
274,50,41,86,35,37,36,58,366,374,42,43,362,67,65,55,49,47,39,52,34,66,43,56,58,46,55,63,360,58,63,58,57,51,83,103,54,70,45,45,56,355,49,32,376,48,51,33,44,374,56
279,61,360,46,41,36,66,372,43,60,82,43,68,60,50,49,46,42,34,33,52,42,45,57,56,364,373,67,48,44,59,57,63,71,59,39,63,56,45,371,53,48,368,37,55,58,50,42,62,54,51
285,40,44,62,355,359,55,375,50,41,38,42,35,46,58,43,46,51,57,51,35,53,33,52,49,39,57,48,364,37,58,51,45,371,379,381,42,46,382,52,42,30,46,33,374,63,365,38,48,50,52
290,42,48,45,44,29,38,45,39,32,43,53,357,42,44,27,34,44,355,43,49,38,34,48,362,40,33,43,35,47,48,51,52,44,51,378,38,36,37,53,39,40,30,31,49,38,366,53,362,373,51
296,35,34,41,36,20,33,36,35,49,43,30,28,39,46,41,41,37,34,360,27,46,33,37,45,48,55,38,369,45,33,53,43,50,54,45,40,41,44,52,42,28,45,25,116,34,51,34,360,32,46
301,365,41,32,36,31,51,45,32,37,32,355,37,23,35,25,31,365,40,36,25,37,42,32,29,68,42,33,35,26,32,48,34,35,34,40,36,27,48,47,33,26,43,32,42,29,42,33,46,38,68
306,32,39,41,39,20,46,47,19,28,24,37,45,25,26,24,32,29,24,78,25,19,35,22,46,359,36,17,30,24,25,29,19,24,28,24,29,19,25,38,18,25,40,26,41,30,32,28,29,24,28
311,28,74,367,32,25,372,36,15,20,26,48,29,19,20,15,33,360,37,32,27,20,46,18,365,31,364,23,15,22,19,30,20,365,19,23,18,15,28,374,25,23,66,25,32,25,44,24,35,19,41
317,28,365,41,24,19,29,31,19,19,15,29,39,13,20,15,77,19,52,42,20,15,29,15,29,29,25,20,26,15,15,369,20,367,15,29,18,19,20,369,19,20,25,25,24,20,36,21,19,25,22
322,25,25,22,27,19,26,17,20,9,15,360,35,14,19,17,28,25,360,355,15,14,24,18,25,23,28,13,31,19,10,24,10,19,15,13,19,10,20,26,10,20,39,19,20,11,27,16,28,20,25
327,365,23,19,48,16,23,22,9,9,15,25,33,14,14,5,28,20,22,31,15,19,15,8,21,30,19,9,19,13,9,19,8,19,15,10,15,13,20,15,9,10,34,10,21,14,23,17,23,20,37
332,360,26,34,15,15,14,15,10,5,10,355,61,10,9,5,12,15,24,29,10,10,19,5,10,14,14,5,19,10,5,19,5,14,15,23,15,5,5,15,5,18,14,14,19,10,23,10,25,15,14
337,10,14,10,355,5,15,23,10,5,5,19,21,10,5,5,10,15,54,25,5,10,15,5,10,21,15,5,5,5,5,13,5,13,10,5,10,5,5,10,5,10,10,10,15,5,10,10,14,10,13
342,10,10,10,19,5,10,17,5,5,5,11,28,5,5,5,10,15,40,13,5,5,5,5,14,14,10,5,7,5,5,23,5,15,5,5,5,5,5,10,5,5,10,5,10,5,10,5,10,5,10
347,10,10,10,5,5,10,23,5,5,5,18,355,5,5,7,10,5,9,38,5,5,0,5,10,356,10,5,5,5,5,10,5,10,5,5,5,5,5,10,5,5,10,5,10,5,10,5,5,5,10
352,0,5,5,5,5,5,5,5,5,0,5,5,5,5,5,0,0,5,5,5,5,0,5,0,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5
357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
