Removed,Iteration_1,Iteration_2,Iteration_3,Iteration_4,Iteration_5,Iteration_6,Iteration_7,Iteration_8,Iteration_9,Iteration_10,Iteration_11,Iteration_12,Iteration_13,Iteration_14,Iteration_15,Iteration_16,Iteration_17,Iteration_18,Iteration_19,Iteration_20,Iteration_21,Iteration_22,Iteration_23,Iteration_24,Iteration_25,Iteration_26,Iteration_27,Iteration_28,Iteration_29,Iteration_30,Iteration_31,Iteration_32,Iteration_33,Iteration_34,Iteration_35,Iteration_36,Iteration_37,Iteration_38,Iteration_39,Iteration_40,Iteration_41,Iteration_42,Iteration_43,Iteration_44,Iteration_45,Iteration_46,Iteration_47,Iteration_48,Iteration_49,Iteration_50
274,4000,4000,4000,4000,4000,4000,4000,105,104,4000,4000,114,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,205,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,116,4000,4000,159,4000,4000,4000,4000,3219,4000
279,4000,39,4000,4000,4000,4000,93,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,123,91,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,116,4000,4000,58,4000,4000,4000,4000,4000,4000,4000,4000
285,4000,4000,4000,304,67,4000,68,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,129,4000,4000,4000,4000,138,111,63,4000,4000,138,4000,4000,4000,4000,4000,118,4000,158,4000,4000,4000,4000
290,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,192,4000,4000,4000,4000,4000,181,4000,4000,4000,4000,4000,112,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,161,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,223,4000,123,249,4000
296,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,76,4000,4000,4000,4000,4000,4000,4000,4000,142,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,269,4000,4000
301,133,4000,4000,4000,4000,4000,4000,4000,4000,4000,79,4000,4000,4000,4000,4000,72,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
306,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,140,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
311,4000,4000,186,4000,4000,119,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,128,4000,4000,4000,4000,4000,4000,86,4000,90,4000,4000,4000,4000,4000,4000,173,4000,4000,4000,4000,4000,92,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
317,4000,148,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,187,4000,106,4000,4000,4000,4000,4000,95,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
322,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,142,4000,4000,4000,4000,4000,4000,203,183,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
327,150,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
332,92,4000,4000,4000,4000,4000,4000,4000,4000,4000,263,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
337,4000,4000,4000,117,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
342,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
347,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,132,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,211,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
352,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
357,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000
